"year","urban","size_residence","gender","age","prec_safety","exp_crimevic_justic","exp_crimelocal_gang","exp_crimelocal_police","fair_courts","respect_inst","rights_protected","proud_gov","support_gov","trust_justice","trust_supremecourt_tribunal","trust_armedforces","trust_natleg","trust_natgov","trust_natpolice","trust_politicalparties","trust_exec","trust_supremecourt","trust_localgov","trust_elections","community_problem","attend_community","attend_polmeeting","attend_womensgroup","approve_gay_politics","approve_samesex_marriage","dem_prefernce","ironfist","discrimination_gender","exp_crimeprob_drug","exp_crimeprob_assualt","exp_crimeprob_shooting","pres_dv1","pres_dv2","approve_overthrow","approve_protesting","approve_blockaids","approve_vigilantism","education","goverence_1","political_knoweldge","race","exp_crimecorr_police","exp_crimecorr_public","exp_crimecorr_common","exp_crimecorr_gov","exp_crimecorr_court","exp_crimecorr_health","exp_crimefear_transport","exp_crimefear_school","watch_news","dem_support","auth_coup1","auth_coup2","auth_power1","auth_power2","language","approve_exec","approve_corupption","approve_secuirty","approve_economy","attend_citycouncil","petition_localgov","satisfied_dem","interest_politcs","attend_protest","attend_religion","importance_religion","income_monthly","pres_economy","vote_registration","vote_lastelection","men_better_leaders","gender_corruption","gender_economy","opinion_working_mother","exp_crimevic","exp_crimevic_num","exp_crimevic_household","exp_crimevic_type","exp_crimevic_loc","exp_crimevic_fear","exp_crimevic_move","exp_crimevic_alone","exp_crimelocal_rob","exp_crimelocal_drug","exp_crimelocal_extortion","exp_crimelocal_extortion_family","exp_crimelocal_murders","gender_control_movement","dv_private_matter","dv_police_seriousness","approve_feminist_protests","approve_sexminority_rights","approve_samesex_adoption","approve_genderminority_rights","opinion_working_father","exp_crimelocal_attackwomen","gender_voting_trust","women_political_participation","exp_crimelocal_sexassault","comfort_lgb_leader","comfort_trans_leader","dv_neighborhood_problem","country_name","nationality_label","language_label"
2006,"Urban","National capital (metro area)","Female",25,3,3,NA,NA,6,6,5,4,5,6,6,6,6,5,4,6,NA,6,5,NA,NA,4,4,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,1,10,7,1,11,NA,NA,"Mulato",0,0,3,NA,NA,NA,NA,NA,1,4,2,2,NA,NA,1301,2,6,5,NA,2,2,2,4,NA,NA,NA,"Just enough, no major difficulties",3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Rural","Rural area","Male",75,1,1,NA,NA,5,6,6,6,6,6,6,7,7,7,7,5,NA,5,7,NA,NA,4,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,7,6,10,3,NA,NA,"White",0,0,4,NA,NA,0,NA,NA,1,1,2,2,NA,NA,1301,2,5,6,NA,2,2,2,2,NA,NA,NA,"Not enough, some difficulties",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","Medium city","Male",70,2,2,NA,NA,4,7,5,6,6,4,3,2,1,5,6,6,NA,4,3,NA,NA,2,4,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,4,NA,NA,"White",0,0,3,NA,NA,0,NA,NA,1,6,2,2,NA,NA,1301,2,5,5,NA,2,2,2,4,NA,NA,NA,"Just enough, no major difficulties",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","National capital (metro area)","Male",68,NA,4,NA,NA,3,4,3,4,4,3,4,6,4,4,6,3,NA,2,1,NA,NA,4,4,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,1,9,4,5,10,NA,NA,"Mestizo",0,0,1,NA,NA,NA,NA,NA,NA,5,2,2,NA,NA,1301,3,4,4,NA,2,2,2,3,NA,NA,NA,"Just enough, no major difficulties",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","Large city","Female",37,1,4,NA,NA,2,4,4,5,6,3,5,2,2,6,5,3,NA,2,4,NA,NA,4,4,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,5,6,1,9,12,NA,NA,"White",0,0,2,NA,NA,0,NA,NA,1,7,2,2,NA,NA,1301,2,4,4,NA,2,2,2,2,NA,NA,NA,"Not enough, some difficulties",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","National capital (metro area)","Male",33,3,3,NA,NA,4,4,4,5,5,5,5,4,4,4,5,4,NA,4,4,NA,NA,4,4,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,1,10,1,1,12,NA,NA,"Mestizo",0,0,2,0,NA,NA,NA,NA,1,6,1,1,NA,NA,1301,3,3,3,NA,2,2,2,3,NA,NA,NA,"Not enough, some difficulties",3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","National capital (metro area)","Female",36,2,2,NA,NA,3,5,5,5,5,5,5,5,5,5,5,5,NA,5,5,NA,NA,4,4,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,7,5,4,5,10,NA,NA,"White",0,0,2,0,NA,0,NA,NA,2,6,2,2,NA,NA,1301,2,2,3,NA,1,1,2,4,NA,NA,NA,"Just enough, no major difficulties",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","National capital (metro area)","Female",43,2,2,NA,NA,5,7,6,5,4,3,4,5,5,4,3,5,NA,4,4,NA,NA,4,4,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,1,10,3,1,12,NA,NA,"Mestizo",0,0,3,NA,NA,0,NA,NA,NA,6,1,2,NA,NA,1301,2,5,5,NA,2,2,2,4,NA,NA,NA,"Just enough, no major difficulties",3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","National capital (metro area)","Female",37,1,2,NA,NA,1,7,1,7,7,1,7,7,7,7,7,4,NA,1,4,NA,NA,2,4,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,10,1,4,17,NA,NA,"White",0,0,2,NA,NA,0,NA,NA,1,7,2,2,NA,NA,1301,2,5,2,NA,2,2,2,3,NA,NA,NA,"Not enough, some difficulties",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","National capital (metro area)","Female",52,4,2,NA,NA,3,4,3,4,2,2,3,3,4,4,5,4,NA,2,5,NA,NA,3,4,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,1,10,1,1,3,NA,NA,"Mestizo",0,0,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,1301,3,4,3,NA,2,2,2,4,NA,NA,NA,"Just enough, no major difficulties",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","National capital (metro area)","Female",29,2,4,NA,NA,4,5,5,4,5,5,4,5,4,5,4,5,NA,5,4,NA,NA,4,4,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,5,5,9,5,17,NA,NA,"White",0,0,4,0,0,0,NA,NA,1,5,2,2,NA,NA,1301,4,5,4,NA,2,2,3,3,NA,NA,NA,"Just enough, no major difficulties",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","Large city","Male",59,3,1,NA,NA,6,5,4,3,2,4,5,6,2,5,6,1,NA,4,5,NA,NA,2,4,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,5,NA,NA,"White",0,0,3,NA,NA,0,NA,NA,NA,7,1,2,NA,NA,1301,2,5,7,NA,2,2,1,4,NA,NA,NA,"Just enough, no major difficulties",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","National capital (metro area)","Female",31,3,3,NA,NA,3,5,7,5,4,2,6,6,4,6,5,3,NA,4,4,NA,NA,4,4,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,1,9,2,7,9,NA,NA,"White",0,0,4,0,NA,0,NA,NA,1,7,2,2,NA,NA,1301,3,3,5,NA,2,2,2,2,NA,NA,NA,"Just enough, no major difficulties",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","Large city","Male",60,4,4,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,4,4,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,10,NA,NA,"Indigenous",0,0,2,NA,NA,0,NA,NA,1,5,1,1,NA,NA,1301,2,5,4,NA,2,2,3,4,NA,NA,NA,"Not enough, some difficulties",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","Large city","Male",42,2,4,NA,NA,4,7,5,5,4,3,3,4,4,4,6,3,NA,4,4,NA,NA,4,4,NA,7,NA,3,NA,NA,NA,NA,NA,NA,NA,3,7,3,5,12,NA,NA,"White",0,0,2,NA,NA,NA,NA,NA,1,5,2,2,NA,NA,1301,3,5,6,NA,2,2,2,2,NA,NA,NA,"Just enough, no major difficulties",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","Medium city","Female",38,2,4,NA,NA,2,7,2,5,6,2,2,7,4,5,4,2,NA,2,6,NA,NA,2,4,NA,9,NA,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,12,NA,NA,"Mestizo",0,0,1,NA,NA,0,NA,NA,1,1,1,1,NA,NA,1301,3,2,2,NA,2,2,3,2,NA,NA,NA,"Just enough, no major difficulties",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","National capital (metro area)","Male",19,2,3,NA,NA,4,3,4,3,2,4,6,4,3,2,3,6,NA,NA,7,NA,NA,4,4,NA,6,NA,3,NA,NA,NA,NA,NA,NA,NA,2,10,8,1,11,NA,NA,"White",1,0,3,NA,NA,NA,NA,NA,2,6,2,2,NA,NA,1301,2,4,4,NA,2,2,3,3,NA,NA,NA,"Just enough, no major difficulties",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","Small city","Female",18,2,2,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,NA,5,5,NA,NA,4,4,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,5,7,NA,NA,"White",0,0,2,NA,NA,NA,NA,NA,1,5,1,1,NA,NA,1301,3,5,5,NA,2,2,2,4,NA,NA,NA,"Not enough, some difficulties",3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","National capital (metro area)","Male",32,2,4,NA,NA,2,6,5,4,5,6,5,6,6,6,6,5,NA,5,6,NA,NA,3,3,NA,8,NA,2,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,17,NA,NA,"White",1,0,3,0,0,0,NA,NA,1,7,2,2,NA,NA,1301,3,6,6,NA,2,2,3,3,NA,NA,NA,"Just enough, no major difficulties",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","National capital (metro area)","Male",21,2,3,NA,NA,3,2,2,3,3,2,4,3,4,3,7,3,NA,3,4,NA,NA,4,4,NA,10,NA,2,NA,NA,NA,NA,NA,NA,NA,4,10,4,3,14,NA,NA,"White",0,0,1,NA,NA,NA,NA,NA,1,6,2,2,NA,NA,1301,4,2,3,NA,2,2,2,3,NA,NA,NA,"Just enough, no major difficulties",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","Medium city","Male",44,2,4,NA,NA,3,4,3,4,4,2,5,6,5,5,4,3,NA,4,4,NA,NA,4,4,NA,7,NA,2,NA,NA,NA,NA,NA,NA,NA,1,10,3,3,13,NA,NA,"White",0,0,2,NA,NA,0,NA,NA,1,7,2,2,NA,NA,1301,3,5,4,NA,2,2,1,2,NA,NA,NA,"Just enough, no major difficulties",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","Large city","Female",34,3,4,NA,NA,3,1,3,3,3,1,4,4,3,6,6,1,NA,1,3,NA,NA,3,4,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,1,6,5,6,12,NA,NA,"White",0,0,4,0,NA,0,NA,NA,1,7,1,2,NA,NA,1301,2,3,7,NA,2,1,2,4,NA,NA,NA,"Not enough, serious difficulties",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","National capital (metro area)","Male",28,2,4,NA,NA,1,1,1,1,1,1,1,7,1,1,6,1,NA,1,2,NA,NA,4,4,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,1,10,1,7,12,NA,NA,"Mestizo",0,0,2,NA,NA,0,NA,NA,1,7,2,2,NA,NA,1301,2,1,2,NA,2,2,3,3,NA,NA,NA,"Just enough, no major difficulties",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Rural","Rural area","Female",42,2,3,NA,NA,2,4,5,5,4,6,7,6,6,7,7,5,NA,4,3,NA,NA,2,4,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,3,1,5,NA,NA,"Mestizo",0,0,2,0,NA,NA,NA,NA,NA,5,1,1,NA,NA,1301,2,6,5,NA,2,1,2,3,NA,NA,NA,"Not enough, some difficulties",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","National capital (metro area)","Male",18,2,2,NA,NA,2,2,3,5,5,5,1,2,4,5,5,1,NA,6,1,NA,NA,4,4,NA,10,NA,2,NA,NA,NA,NA,NA,NA,NA,2,10,4,1,11,NA,NA,"Mestizo",0,0,2,NA,NA,NA,NA,NA,1,7,1,1,NA,NA,1301,3,1,1,NA,2,2,3,4,NA,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Urban","Medium city","Male",53,2,4,NA,NA,1,7,1,1,5,1,5,7,1,3,7,1,NA,2,6,NA,NA,4,4,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1,3,1,5,9,NA,NA,"White",0,0,2,NA,0,NA,NA,NA,1,1,2,2,NA,NA,1301,4,4,1,NA,2,2,4,4,NA,NA,NA,"Just enough, no major difficulties",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Rural","Rural area","Female",51,1,2,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,NA,4,4,NA,NA,4,4,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,5,NA,NA,"Mestizo",0,0,2,NA,NA,NA,NA,NA,1,5,1,1,NA,NA,1301,2,4,4,NA,2,2,3,4,NA,NA,NA,"Not enough, serious difficulties",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
2006,"Rural","Rural area","Female",63,2,1,NA,NA,4,7,5,5,7,5,5,7,5,7,6,7,NA,6,7,NA,NA,4,4,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,4,6,7,10,0,NA,NA,"Mestizo",0,0,2,NA,0,NA,NA,NA,NA,7,1,2,NA,NA,1301,2,7,6,NA,2,2,2,1,NA,NA,NA,"Not enough, serious difficulties",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","Chilean","Spanish"
